Event_name,Location,Depth,Magnitude
M010176A,-28.61 -177.64,59.0,6.2
C010576A,-13.29 -74.90,95.0,6.0
C010676A,51.60 159.33,33.0,5.7
C010976A,-15.76 167.87,168.0,6.1
C011376A,66.16 -16.58,33.0,6.0
M011476A,-29.21 -177.89,69.0,6.3
M011476B,-28.43 -177.66,33.0,6.5
B011476C,-28.66 -176.85,31.0,5.5
B011576A,-30.38 -176.82,33.0,5.3
B011576B,-30.15 -177.24,33.0,5.1
M012176A,44.92 149.12,41.0,6.3
C012376A,-7.48 119.90,614.0,6.4
C012476A,-28.64 -177.59,78.0,6.2
B012676A,-29.34 -176.46,30.0,6.0
C020376A,54.50 161.89,33.0,6.0
M020476A,15.32 -89.10,5.0,6.2
B020676A,-5.98 146.31,37.0,6.0
C021476A,-57.41 -64.42,40.0,6.0
C021576A,13.00 125.79,33.0,6.1
C021576B,-28.39 -176.79,54.0,5.5
C022276A,-3.36 145.24,22.0,5.1
C022376A,51.47 -130.44,16.0,5.6
C022876A,-40.00 -74.73,9.0,6.0
C030376A,-8.23 121.44,30.0,6.0
C030476A,-14.74 167.10,90.0,6.4
C030876A,-10.73 165.02,47.0,6.1
C031376A,-6.26 154.72,50.0,5.5
C032476A,-29.89 -177.87,33.0,6.4
C032976A,3.93 -85.88,33.0,5.9
C040676A,-3.87 152.09,21.0,5.8
C040876A,40.31 63.77,33.0,6.5
C040876B,40.17 63.81,33.0,6.2
C040976A,0.78 -79.80,9.0,6.1
C041076A,-6.43 154.83,54.0,6.0
C041476A,-51.90 139.47,33.0,5.4
C042276A,28.71 52.13,24.0,6.0
C042976A,-28.20 -176.88,62.0,5.3
C050476A,-44.64 167.57,19.0,6.0
C050576A,-29.93 -177.84,35.0,6.2
C050676A,46.36 13.27,9.0,6.0
C051176A,-51.51 139.68,33.0,5.6
B051176B,-51.60 139.68,33.0,5.8
C051176C,37.56 20.35,33.0,5.8
C051576A,-11.64 -74.48,33.0,6.0
C051776A,40.38 63.47,10.0,6.3
C051876A,-59.95 154.08,33.0,5.3
C052976A,24.57 98.95,8.0,6.1
B052976B,24.53 98.71,10.0,6.0
C053076A,-41.64 -75.41,28.0,6.0
C053176A,24.34 98.64,14.0,5.5
C060376A,-5.20 153.44,88.0,6.2
C060576A,-10.09 161.01,61.0,6.2
C060776A,14.09 124.83,33.0,6.1
C060776B,17.40 -100.64,45.0,6.1
C061576A,0.54 134.79,33.0,6.0
B061776A,46.16 12.86,24.0,6.1
C061976A,-18.02 65.41,33.0,5.6
C062076A,3.40 96.32,33.0,6.3
C062576A,-4.60 140.09,33.0,6.1
C062676A,3.66 126.75,33.0,5.8
C062976A,-33.82 -177.83,48.0,6.1
C071176A,7.34 -78.47,22.0,6.3
C071176B,7.41 -78.13,3.0,6.2
C071476A,-8.17 114.89,40.0,6.2
C071776A,-4.16 152.76,53.0,6.0
C072176A,24.78 98.70,9.0,5.8
B072676A,-21.91 -113.33,33.0,5.2
C072676B,4.96 118.31,33.0,5.8
M072776A,39.57 117.98,23.0,6.3
C072876A,39.66 118.40,26.0,6.3
C072876B,-20.20 170.00,5.0,5.6
B072876C,39.29 72.79,50.0,5.1
C072876D,43.17 45.60,21.0,5.4
C073176A,-30.32 -177.96,20.0,5.8
C080276A,-20.61 169.27,52.0,6.1
C081276A,26.68 97.07,27.0,6.4
C081676A,32.75 104.16,16.0,6.1
M081676B,6.26 124.02,33.0,6.4
B081776A,10.06 125.87,34.0,6.0
C081776B,7.25 122.94,22.0,6.2
C082176A,-6.72 129.57,120.0,6.0
C082176B,32.57 104.25,33.0,6.1
C082376A,32.49 104.18,33.0,6.2
C091576A,46.30 13.20,10.0,5.7
C092276A,44.88 149.23,64.0,6.1
C092976A,6.92 124.07,41.0,6.0
C093076A,-30.24 -177.88,32.0,5.7
C100576A,-6.43 153.00,22.0,6.3
C101276A,-10.45 161.29,106.0,6.0
C102976A,-4.52 139.92,33.0,6.1
C110276A,-29.35 77.66,33.0,5.8
C110676A,27.60 101.05,33.0,5.8
C110776A,33.80 59.15,13.0,5.6
C110776B,8.48 126.38,60.0,6.0
C110876A,38.09 142.24,38.0,5.9
C111576A,39.44 117.69,15.0,6.0
C111676A,-41.64 80.21,33.0,5.3
C111876A,-8.82 156.94,33.0,6.1
C111876B,-4.17 135.14,33.0,5.8
B112276A,7.03 123.58,60.0,6.0
C112276B,-38.52 78.57,33.0,5.5
C112476A,39.12 44.03,36.0,6.1
C112576A,-19.50 -177.71,442.0,6.0
C112676A,41.29 -125.71,15.0,6.0
C112776A,36.51 71.04,190.0,6.1
M113076A,-20.52 -68.92,82.0,6.5
C121476A,28.29 130.70,41.0,6.3
C122076A,48.80 -129.29,10.0,5.9
B010177C,30.66 137.06,476.0,5.2
B010177A,-7.89 109.01,113.0,5.7
B010177D,-2.53 126.58,33.0,6.0
B010177B,38.15 91.01,27.0,5.9
B010177E,-56.15 -142.93,33.0,5.4
C010277A,-10.17 118.99,19.0,5.8
B010577A,27.46 56.20,29.0,5.5
B010577B,-20.81 -178.31,575.0,5.2
C010677A,-3.63 144.45,33.0,6.0
B010677B,51.48 -175.48,38.0,5.2
B010677C,-2.51 28.70,21.0,5.3
B010777A,-31.28 -13.24,33.0,5.3
B010777B,21.17 120.28,33.0,5.7
B010877A,15.32 121.91,36.0,5.3
B010877B,-11.27 166.11,42.0,5.5
B010877C,-5.60 150.96,61.0,5.3
B011077A,-20.72 -179.25,653.0,5.5
B011177A,-31.68 -71.44,35.0,5.4
B011277A,1.58 99.86,178.0,5.6
B011477A,-19.80 -177.54,350.0,5.2
B011577A,12.96 125.96,33.0,5.6
B011777A,26.68 142.58,33.0,5.6
B011777B,-14.87 -177.23,36.0,5.3
C011777C,-24.85 -68.67,33.0,6.3
B011877A,-41.73 174.25,50.0,5.9
B011977A,37.02 95.70,33.0,5.9
B011977B,5.04 126.55,50.0,5.8
B012077A,8.39 123.03,37.0,5.4
B012177A,-18.01 -178.38,604.0,5.8
B012377A,-13.38 166.51,39.0,5.5
B012577B,-1.89 134.36,33.0,5.4
B012577A,-15.92 168.23,266.0,5.6
B012577C,-10.93 164.66,25.0,5.7
B012777A,-6.51 152.78,58.0,5.7
B012977A,-5.22 151.81,55.0,5.6
B012977B,-33.75 56.33,33.0,5.3
B013177A,40.04 70.85,20.0,6.1
B020377A,45.37 150.44,33.0,5.5
B020377B,42.97 130.93,506.0,5.0
B020477A,-24.69 -63.36,549.0,6.0
C020577A,-66.45 -82.58,33.0,6.2
